Epoch 1.28 / 50, i = 101 / 17800, loss = 2.435807
Epoch 1.29 / 50, i = 102 / 17800, loss = 2.402743
Epoch 1.29 / 50, i = 103 / 17800, loss = 2.373309
Epoch 1.29 / 50, i = 104 / 17800, loss = 2.407620
Epoch 1.29 / 50, i = 105 / 17800, loss = 2.372483
Epoch 1.30 / 50, i = 106 / 17800, loss = 2.425647
Epoch 1.30 / 50, i = 107 / 17800, loss = 2.422437
Epoch 1.30 / 50, i = 108 / 17800, loss = 2.335994
Epoch 1.31 / 50, i = 109 / 17800, loss = 2.323039
Epoch 1.31 / 50, i = 110 / 17800, loss = 2.369599
Epoch 1.31 / 50, i = 111 / 17800, loss = 2.352039
Epoch 1.31 / 50, i = 112 / 17800, loss = 2.428401
Epoch 1.32 / 50, i = 113 / 17800, loss = 2.396351
Epoch 1.32 / 50, i = 114 / 17800, loss = 2.347583
Epoch 1.32 / 50, i = 115 / 17800, loss = 2.370225
Epoch 1.33 / 50, i = 116 / 17800, loss = 2.340440
Epoch 1.33 / 50, i = 117 / 17800, loss = 2.419367
Epoch 1.33 / 50, i = 118 / 17800, loss = 2.326504
Epoch 1.33 / 50, i = 119 / 17800, loss = 2.333960
Epoch 1.34 / 50, i = 120 / 17800, loss = 2.316457
Epoch 1.34 / 50, i = 121 / 17800, loss = 2.297965
Epoch 1.34 / 50, i = 122 / 17800, loss = 2.335638
Epoch 1.35 / 50, i = 123 / 17800, loss = 2.333531
Epoch 1.35 / 50, i = 124 / 17800, loss = 2.327933
Epoch 1.35 / 50, i = 125 / 17800, loss = 2.364435
Epoch 1.35 / 50, i = 126 / 17800, loss = 2.310614
Epoch 1.36 / 50, i = 127 / 17800, loss = 2.339388
Epoch 1.36 / 50, i = 128 / 17800, loss = 2.299350
Epoch 1.36 / 50, i = 129 / 17800, loss = 2.300689
Epoch 1.37 / 50, i = 130 / 17800, loss = 2.274804
Epoch 1.37 / 50, i = 131 / 17800, loss = 2.283182
Epoch 1.37 / 50, i = 132 / 17800, loss = 2.305111
Epoch 1.37 / 50, i = 133 / 17800, loss = 2.312384
Epoch 1.38 / 50, i = 134 / 17800, loss = 2.282093
Epoch 1.38 / 50, i = 135 / 17800, loss = 2.268631
Epoch 1.38 / 50, i = 136 / 17800, loss = 2.317263
Epoch 1.38 / 50, i = 137 / 17800, loss = 2.290850
Epoch 1.39 / 50, i = 138 / 17800, loss = 2.277142
Epoch 1.39 / 50, i = 139 / 17800, loss = 2.289589
Epoch 1.39 / 50, i = 140 / 17800, loss = 2.247208
Epoch 1.40 / 50, i = 141 / 17800, loss = 2.295066
Epoch 1.40 / 50, i = 142 / 17800, loss = 2.279281
Epoch 1.40 / 50, i = 143 / 17800, loss = 2.332317
Epoch 1.40 / 50, i = 144 / 17800, loss = 2.287780
Epoch 1.41 / 50, i = 145 / 17800, loss = 2.229163
Epoch 1.41 / 50, i = 146 / 17800, loss = 2.294109
Epoch 1.41 / 50, i = 147 / 17800, loss = 2.215731
Epoch 1.42 / 50, i = 148 / 17800, loss = 2.273447
Epoch 1.42 / 50, i = 149 / 17800, loss = 2.275476
Epoch 1.42 / 50, i = 150 / 17800, loss = 2.259523
Epoch 1.42 / 50, i = 151 / 17800, loss = 2.233651
Epoch 1.43 / 50, i = 152 / 17800, loss = 2.237599
Epoch 1.43 / 50, i = 153 / 17800, loss = 2.243384
Epoch 1.43 / 50, i = 154 / 17800, loss = 2.262920
Epoch 1.44 / 50, i = 155 / 17800, loss = 2.229507
Epoch 1.44 / 50, i = 156 / 17800, loss = 2.243298
Epoch 1.44 / 50, i = 157 / 17800, loss = 2.211491
Epoch 1.44 / 50, i = 158 / 17800, loss = 2.242233
Epoch 1.45 / 50, i = 159 / 17800, loss = 2.241300
Epoch 1.45 / 50, i = 160 / 17800, loss = 2.252208
Epoch 1.45 / 50, i = 161 / 17800, loss = 2.247665
Epoch 1.46 / 50, i = 162 / 17800, loss = 2.254413
Epoch 1.46 / 50, i = 163 / 17800, loss = 2.217200
Epoch 1.46 / 50, i = 164 / 17800, loss = 2.226794
Epoch 1.46 / 50, i = 165 / 17800, loss = 2.183302
Epoch 1.47 / 50, i = 166 / 17800, loss = 2.189315
Epoch 1.47 / 50, i = 167 / 17800, loss = 2.192854
Epoch 1.47 / 50, i = 168 / 17800, loss = 2.208803
Epoch 1.47 / 50, i = 169 / 17800, loss = 2.190034
Epoch 1.48 / 50, i = 170 / 17800, loss = 2.175115
Epoch 1.48 / 50, i = 171 / 17800, loss = 2.196782
Epoch 1.48 / 50, i = 172 / 17800, loss = 2.182712
Epoch 1.49 / 50, i = 173 / 17800, loss = 2.212872
Epoch 1.49 / 50, i = 174 / 17800, loss = 2.225105
Epoch 1.49 / 50, i = 175 / 17800, loss = 2.225178
Epoch 1.49 / 50, i = 176 / 17800, loss = 2.225207
Epoch 1.50 / 50, i = 177 / 17800, loss = 2.176836
Epoch 1.50 / 50, i = 178 / 17800, loss = 2.186217
Epoch 1.50 / 50, i = 179 / 17800, loss = 2.208060
