Running with CUDA on GPU 0	
Epoch 1.27 / 80, i = 97 / 28480, loss = 2.547342	
Epoch 1.28 / 80, i = 98 / 28480, loss = 2.489955	
Epoch 1.28 / 80, i = 99 / 28480, loss = 2.527452	
Epoch 1.28 / 80, i = 100 / 28480, loss = 2.494956	
Epoch 1.28 / 80, i = 101 / 28480, loss = 2.501516	
Epoch 1.29 / 80, i = 102 / 28480, loss = 2.487750	
Epoch 1.29 / 80, i = 103 / 28480, loss = 2.469345	
Epoch 1.29 / 80, i = 104 / 28480, loss = 2.511038	
Epoch 1.29 / 80, i = 105 / 28480, loss = 2.458027	
Epoch 1.30 / 80, i = 106 / 28480, loss = 2.511043	
Epoch 1.30 / 80, i = 107 / 28480, loss = 2.490680	
Epoch 1.30 / 80, i = 108 / 28480, loss = 2.403106	
Epoch 1.31 / 80, i = 109 / 28480, loss = 2.393369	
Epoch 1.31 / 80, i = 110 / 28480, loss = 2.453997	
Epoch 1.31 / 80, i = 111 / 28480, loss = 2.419080	
Epoch 1.31 / 80, i = 112 / 28480, loss = 2.517128	
Epoch 1.32 / 80, i = 113 / 28480, loss = 2.466206	
Epoch 1.32 / 80, i = 114 / 28480, loss = 2.414300	
Epoch 1.32 / 80, i = 115 / 28480, loss = 2.434455	
Epoch 1.33 / 80, i = 116 / 28480, loss = 2.426950	
Epoch 1.33 / 80, i = 117 / 28480, loss = 2.468170	
Epoch 1.33 / 80, i = 118 / 28480, loss = 2.398783	
Epoch 1.33 / 80, i = 119 / 28480, loss = 2.407634	
Epoch 1.34 / 80, i = 120 / 28480, loss = 2.398395	
Epoch 1.34 / 80, i = 121 / 28480, loss = 2.391061	
Epoch 1.34 / 80, i = 122 / 28480, loss = 2.407311	
Epoch 1.35 / 80, i = 123 / 28480, loss = 2.411181	
Epoch 1.35 / 80, i = 124 / 28480, loss = 2.377786	
Epoch 1.35 / 80, i = 125 / 28480, loss = 2.411443	
Epoch 1.35 / 80, i = 126 / 28480, loss = 2.369493	
Epoch 1.36 / 80, i = 127 / 28480, loss = 2.391797	
Epoch 1.36 / 80, i = 128 / 28480, loss = 2.350096	
Epoch 1.36 / 80, i = 129 / 28480, loss = 2.368235	
Epoch 1.37 / 80, i = 130 / 28480, loss = 2.335858	
Epoch 1.37 / 80, i = 131 / 28480, loss = 2.347812	
Epoch 1.37 / 80, i = 132 / 28480, loss = 2.366953	
Epoch 1.37 / 80, i = 133 / 28480, loss = 2.365289	
Epoch 1.38 / 80, i = 134 / 28480, loss = 2.335488	
Epoch 1.38 / 80, i = 135 / 28480, loss = 2.328259	
Epoch 1.38 / 80, i = 136 / 28480, loss = 2.359714	
Epoch 1.38 / 80, i = 137 / 28480, loss = 2.322450	
Epoch 1.39 / 80, i = 138 / 28480, loss = 2.321002	
Epoch 1.39 / 80, i = 139 / 28480, loss = 2.346317	
Epoch 1.39 / 80, i = 140 / 28480, loss = 2.293657	
Epoch 1.40 / 80, i = 141 / 28480, loss = 2.338943	
Epoch 1.40 / 80, i = 142 / 28480, loss = 2.338014	
Epoch 1.40 / 80, i = 143 / 28480, loss = 2.398649	
Epoch 1.40 / 80, i = 144 / 28480, loss = 2.331860	
Epoch 1.41 / 80, i = 145 / 28480, loss = 2.282010	
